Review ID,Reviewer Name,Rating,Review Date,Review Content,cleaned_text
1,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage.",incurred burn leg motorcycle accident visiting friends australia required emergency room visit followup cost aus paid full costwhile australia filed claim day returned states included full documentation photos nasty injury allianz made claim process simple within two days advised claim fully approved day later full claim paid bank account guys great travel abroad without level additional medical coverage
2,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!",policy easy buy planning international trips one year young man suggested purchase year plan much cost effective unfortunately go emergency room switzerland need pay bill reimbursed easy surprisingly fast friend australia travels frequently pays much higher premium travel insurance pleased company
3,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.,purchased travel insurance allianz every trips since covid company excellent customer service quick response issues great peace mind travel around world knowing allianz always assist us
4,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.,husband unexpected open heart surgery caused us cancel trip see family december able get credits air needed cancel nonrefundable condo theca wine country allianz reimbursed fees assessedthen month later needed another procedure caused us cancel cruise allianz reimbursed cancelation feeswe sold alliance annual plan already renewed next year
5,KA,5 ⭐,Mar 19 2025,Very good offer for travel insurance & the costs are responsible,good offer travel insurance costs responsible
6,CB,1 ⭐,Mar 19 2025,Allegiance cancelled my flight and you won’t refund me my money,allegiance cancelled flight wont refund money
7,MR,1 ⭐,Mar 19 2025,What’s the purpose of getting insurance if theirs always an excuse from the airline as to why there was a delay. We should be compensated for delays over 4hours and again another disappointment with this insurance!,whats purpose getting insurance always excuse airline delay compensated delays hours another disappointment insurance
8,HT,5 ⭐,Mar 19 2025,We bought the travel insurance not thinking we will actually use it. But it turns out our train was canceled due to weather and Allianz covered our flights and hotels cancellation fees.  The claim process was super easy.,bought travel insurance thinking actually use turns train canceled due weather allianz covered flights hotels cancellation fees claim process super easy
9,DA,2 ⭐,Mar 19 2025,"You don't know how good a travel insurance company is until you have a claim.And after this claim experience I would look at another travel insurance company next time.We had a claim because Royal Caribbean cancelled the stop at their Private Island.  Instead they parked the Icon of the Seas off the coast of West Palm Beach for 2 days.  There is no way access their Island without taking another cruise for $800 each.The cruise line gave everyone an official letter to submit to their travel insurance company to submit a claim.We submitted the claim online and it sat for 14 days no action and email from Allianz.  When we checked the status online--it said they needed more documentation to process the claim--but they never never notified us of such.  We uploaded the bill from the cruise line which they wanted again--same document submitted the first time still in their folder.  Had we not checked the status, the claim would still be pending because they do not let you know if they need more information--you are required to check the claim regularly and follow up with them.When you upload a new document it says it resets the time to 14 day for Allianz to review the claim.Now 30 days after we submitted the claim they paid us just $200 and mailed a check.It's really too low a payment because it would take $1600 for both of us to take a 3-day cruise just to see the private island.  The Icon of the Seas 7-day cruise costs $5000.00 for both of us not including air.I don't have confidence in Allianz that they would properly pay another more costly claim next time so I would look at another travel insurance company.",dont know good travel insurance company claimand claim experience would look another travel insurance company next timewe claim royal caribbean cancelled stop private island instead parked icon seas coast west palm beach days way access island without taking another cruise eachthe cruise line gave everyone official letter submit travel insurance company submit claimwe submitted claim online sat days action email allianz checked status onlineit said needed documentation process claimbut never never notified us uploaded bill cruise line wanted againsame document submitted first time still folder checked status claim would still pending let know need informationyou required check claim regularly follow themwhen upload new document says resets time day allianz review claimnow days submitted claim paid us mailed checkits really low payment would take us take day cruise see private island icon seas day cruise costs us including airi dont confidence allianz would properly pay another costly claim next time would look another travel insurance company
10,KC,5 ⭐,Mar 19 2025,I'm thankful for the help you gave. I really didn't know what to expect. Very professional. And the app was easy to use. Thanks so much for giving me a full refund. I really appreciate it. I was very disappointed to not be able to attend my show. But this made me happy 😊,im thankful help gave really didnt know expect professional app easy use thanks much giving full refund really appreciate disappointed able attend show made happy
11,CN,1 ⭐,Mar 19 2025,You didn’t do anything but ask for documentation which I no longer had so I will never buy travel insurance again. Thanks for the lesson. Only cost a hotel room I didn’t use about 240$,didnt anything ask documentation longer never buy travel insurance thanks lesson cost hotel room didnt use
12,AM,2 ⭐,Mar 19 2025,I did not receive full reimbursement for all my medical expenses,receive full reimbursement medical expenses
13,DO,5 ⭐,Mar 19 2025,"We will never travel without Allianz insurance.  A few weeks prior to our cruise date, my husband had to have his gallbladder removed, which resulted in two more hospitalizations for complications. Filing a claim was simple. I simply had to upload the hospitalization summaries and a note from the doctor and we were fully reimbursed within 10 to 14 days.",never travel without allianz insurance weeks prior cruise date husband gallbladder removed resulted two hospitalizations complications filing claim simple simply upload hospitalization summaries note doctor fully reimbursed within days
14,CB,5 ⭐,Mar 19 2025,Very professional! No nonsense always there to help you out if you have a problem. Would never use anyone else but ALLIANZ!!! The best in customer service and and care about there clients.,professional nonsense always help problem would never use anyone else allianz best customer service care clients
15,EL,5 ⭐,Mar 19 2025,"Very polite and educated representatives, very fast and professional respond. Very pleased to make a deal with.",polite educated representatives fast professional respond pleased make deal
16,DA,5 ⭐,Mar 19 2025,The claim submission process was easy and straightforward.  The review and payout time was very quick!,claim submission process easy straightforward review payout time quick
17,TZ,1 ⭐,Mar 19 2025,Agent told me wrong about what the insurance covers and my claim was denied because it didn’t cover my airline cancellation,agent told wrong insurance covers claim denied didnt cover airline cancellation
18,ER,5 ⭐,Mar 19 2025,"It has been easy to renew our policy yearly. We have used Allianz for years now, but t we just started having yearly policy in the last three years. We have not have any claims.",easy renew policy yearly used allianz years started yearly policy last three years claims
19,SC,5 ⭐,Mar 19 2025,Allianz is quick and helpful.,allianz quick helpful
20,TO,5 ⭐,Mar 19 2025,"Simple, no hassle process to submit and get reimbursed",simple hassle process submit get reimbursed
21,RW,5 ⭐,Mar 19 2025,A very simple and smooth claims process that could be managed straight from my phone.,simple smooth claims process could managed straight phone
22,ST,5 ⭐,Mar 19 2025,"We had a medical emergency in Mexico and were required to pay all bills upfront. When we returned home, I contacted Allianz, submitted a claim, and was reimbursed quickly. I am still waiting on my health insurance to indicate what they will cover, but was delighted Allianz came through!",medical emergency mexico required pay bills upfront returned home contacted allianz submitted claim reimbursed quickly still waiting health insurance indicate cover delighted allianz came
23,KR,1 ⭐,Mar 19 2025,It took about a month for my claim to finally be done and it was denied. What is the point of me buying ticket insurance and I can’t even use it? It’s a scam.,took month claim finally done denied point buying ticket insurance cant even use scam
24,Chris Lovejoy,5 ⭐,Mar 19 2025,I had to cancel my flight due to an emergency with my family and Allianz was easy to work with when entering the information needed.  I was refunded the cancellation fee promptly.  No complaints!,cancel flight due emergency family allianz easy work entering information needed refunded cancellation fee promptly complaints
25,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage.",incurred burn leg motorcycle accident visiting friends australia required emergency room visit followup cost aus paid full costwhile australia filed claim day returned states included full documentation photos nasty injury allianz made claim process simple within two days advised claim fully approved day later full claim paid bank account guys great travel abroad without level additional medical coverage
