Review ID,Reviewer Name,Rating,Review Date,Review Content
1,DS,5 ⭐,Mar 18 2025,"I incurred a ""burn"" on my leg from a motorcycle accident while visiting friends in Australia.  It required an emergency room visit and some followup which cost over $1,000 (AUS).  I paid the full costwhile in Australia and filed a claim the day after I returned to the States. I included full documentation with some some photos of the nasty injury. Allianz made this claim process simple. Within two days I was advised my claim was fully approved and a day later my full claim was paid to my bank account! These guys are great! I will not travel abroad without some level of additional medical coverage."
2,NR,5 ⭐,Mar 18 2025,"The policy was very easy to buy. I was planning on 3 international trips in one year, so the young man suggested that I purchase the 1-year plan, being much more cost effective. Unfortunately, I had to go to the emergency room in Switzerland. I did need to pay the bill, then be reimbursed, but it was very easy and surprisingly fast! My friend in Australia travels frequently. She pays a much higher premium for her travel insurance. I am very pleased with your company!"
3,JY,5 ⭐,Mar 18 2025,We have purchased travel insurance with Allianz for every of our trips since Covid. The company has excellent customer service. Quick response to all our issues. It is a great peace of mind when we travel around the world knowing that Allianz will always be there to assist us.
4,DA,5 ⭐,Mar 18 2025,My husband had unexpected open heart surgery that caused us to cancel a trip to see family in December.  We were able to get credits for our air but needed to cancel a non-refundable condo in theCA wine country.  Allianz reimbursed the fees that were assessed.Then a month later he needed another procedure that caused us to cancel a cruise!  Once again Allianz reimbursed the cancelation fees.We are sold on the Alliance annual plan and have already renewed it for this next year.
5,KA,5 ⭐,Mar 19 2025,Very good offer for travel insurance & the costs are responsible
6,CB,1 ⭐,Mar 19 2025,Allegiance cancelled my flight and you won’t refund me my money
7,MR,1 ⭐,Mar 19 2025,What’s the purpose of getting insurance if theirs always an excuse from the airline as to why there was a delay. We should be compensated for delays over 4hours and again another disappointment with this insurance!
8,HT,5 ⭐,Mar 19 2025,We bought the travel insurance not thinking we will actually use it. But it turns out our train was canceled due to weather and Allianz covered our flights and hotels cancellation fees.  The claim process was super easy.
9,DA,2 ⭐,Mar 19 2025,"You don't know how good a travel insurance company is until you have a claim.And after this claim experience I would look at another travel insurance company next time.We had a claim because Royal Caribbean cancelled the stop at their Private Island.  Instead they parked the Icon of the Seas off the coast of West Palm Beach for 2 days.  There is no way access their Island without taking another cruise for $800 each.The cruise line gave everyone an official letter to submit to their travel insurance company to submit a claim.We submitted the claim online and it sat for 14 days no action and email from Allianz.  When we checked the status online--it said they needed more documentation to process the claim--but they never never notified us of such.  We uploaded the bill from the cruise line which they wanted again--same document submitted the first time still in their folder.  Had we not checked the status, the claim would still be pending because they do not let you know if they need more information--you are required to check the claim regularly and follow up with them.When you upload a new document it says it resets the time to 14 day for Allianz to review the claim.Now 30 days after we submitted the claim they paid us just $200 and mailed a check.It's really too low a payment because it would take $1600 for both of us to take a 3-day cruise just to see the private island.  The Icon of the Seas 7-day cruise costs $5000.00 for both of us not including air.I don't have confidence in Allianz that they would properly pay another more costly claim next time so I would look at another travel insurance company."
10,KC,5 ⭐,Mar 19 2025,I'm thankful for the help you gave. I really didn't know what to expect. Very professional. And the app was easy to use. Thanks so much for giving me a full refund. I really appreciate it. I was very disappointed to not be able to attend my show. But this made me happy 😊
